Размер списка;Ср. время выполнения в наносекундах;Ср. кол-во операций;Ср. время выполнения в наносекундах (наполовину отсортирован);Ср. кол-во операций (наполовину отсортирован);Ср. время выполнения в наносекундах (полностью отсортированный);Ср. кол-во операций (полностью отсортированный);Сложность O(n);Сложность O(n*logn)
100;58375;1149;40298;509;37269;210;100;664,385619
125;10191;1534;7035;689;5893;261;125;870,7230356
150;13388;1929;8836;852;10631;311;150;1084,322804
175;13992;2315;8421;1041;7068;361;175;1303,961945
200;18284;2738;10731;1223;8783;412;200;1528,771238
225;19813;3174;14676;1405;11159;462;225;1758,100768
250;29626;3636;30821;1611;18316;512;250;1991,446071
275;25800;4063;14195;1819;11298;562;275;2228,404147
300;27577;4505;15347;2003;18200;613;300;2468,645607
325;34139;4999;21139;2232;14638;663;325;2711,89617
350;30642;5463;16009;2425;12446;713;350;2957,923889
375;29466;5961;13458;2646;9362;763;375;3206,530045
400;31883;6428;14656;2868;10120;813;400;3457,542476
425;37255;6910;17219;3105;11731;863;425;3710,810588
450;38628;7374;17547;3315;11531;913;450;3966,201536
475;40575;7873;19489;3547;13125;964;475;4223,597259
500;44989;8396;20931;3762;541326;1014;500;4482,892142
525;47854;8912;22041;3992;14561;1064;525;4743,991147
550;50535;9438;24203;4215;15473;1114;550;5006,808295
575;51718;9933;23691;4409;15952;1164;575;5271,265434
600;54646;10469;25194;4663;15801;1214;600;5537,291214
625;66498;10992;30670;4924;18903;1264;625;5804,820237
650;79994;11506;45914;5166;22489;1314;650;6073,79234
675;75118;12024;35676;5403;21746;1364;675;6344,151992
700;67560;12562;32558;5662;19712;1414;700;6615,847778
725;72484;13091;68188;5905;20003;1464;725;6888,831959
750;93253;13629;49639;6164;31264;1514;750;7163,060089
775;144980;14150;49728;6390;30951;1565;775;7438,490688
800;103108;14689;55489;6614;33890;1615;800;7715,084952
825;83626;15267;40217;6877;42255;1665;825;7992,806505
850;86045;15829;40911;7123;23943;1715;850;8271,621176
875;91304;16398;80094;7374;58248;1765;875;8551,496806
900;94282;16931;45436;7623;25991;1815;900;8832,403072
925;104993;17506;51839;7861;29839;1865;925;9114,311339
950;116257;18057;57639;8075;36792;1915;950;9397,194518
